location,description
HMP0002-EV,EVCS - HomeproRatchburi
HMP0002-EV-BTL01GU001,DC Charger
HMP0002-EV-BTL01GU001-A61,DC Charger Contactor
HMP0002-EV-BTL01GU001-H01,SIM for Charger
HMP0002-EV-CYA01GN301,SIM for Router
ZOO0001-ES-WAC31GH101-A01,DC Combiner box-String 1
ZOO0001-ES-WAC31GH101-A09,DC Combiner box-String 9
UAT0002-XX,XX UAT TEST
EP_SPARE_01,Store Spare 001
PTG0002-EV-BTL01GU201-A81,DC Charger SECC
PTG0002-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0002-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0002-EV-BTL01GU201-F11,DC Charger IMD
PTG0002-EV-BTL01GU201-E01,DC Charger HMI
PTG0002-EV-BTL01GU201-H01,SIM for Charger
PTG0002-EV-CYA01GH001,Consumer Unit
PTG0002-EV-CYA01GN001,Router & POE Switch
PTG0002-EV-CYA01GN101,CCTV 1
PTG0002-EV-CYA01GN102,CCTV 2
PTG0002-EV-CYA01GN201,NVR
PTG0002-EV-CYA01GN301,SIM for Router
PTG0002-EV-CYA01GU001,UPS
PTG0002-EV-BJB01GH001,Lighting
PTG0003,PTG Ban Tai
PTG0003-EV,EVCS Elex @ PTG Ban Tai
PTG0003-EV-UMC01US001,Main Structure
ZOO0001-ES-WAC20,Inverter System #2
ZOO0001-ES-WAC21GU001,Inverter No.1
ZOO0001-ES-WAC21GH101,DC Combiner box
SMT,SAMTECH
HMP,Homepro
HMP0002,HomeproRatchburi
HMP0002-EV-UMC01BB001,Fire Extinguisher 1
HMP0002-EV-UMC01BB002,Fire Extinguisher 2
HMP0002-EV-AJA01GT001,Transformer
HMP0002-EV-BFA01,Electrical System (LV MDB)
HMP0002-EV-BTL01GU001-A21,DC Charger Auxillary
HMP0002-EV-BTL01GU001-A31,DC Charger Meter
HMP0002-EV-BTL01GU001-A91,DC Charger Power Supply
HMP0002-EV-BTL01GU001-F01,DC Charger DC Fuse
HMP0002-EV-CYA01GN001,Router & POE Switch
HMP0002-EV-CYA01GN101,CCTV1
HMP0002-EV-BJB01GH001,Lighting
ZOO0001-ES,Khaokheow Zoo - Energy Solutions
ZOO0001-ES-WAC10GU001,Inverter No.1
ZOO0001-ES-WAC11GU001,Inverter No.1
EP_TEST1,Store EP TEST
ES_STORE_002,
ES UAT RETEST 01,UAT Retest 1234
PTG0003-EV-UMC01US002,Parking lot
PTG0004,PTG Pakchong 3
PTG0004-EV,EVCS Elex @ PTG Pakchong 3
PTG0004-EV-UMC01US001,Main Structure
PTG0004-EV-UMC01US002,Parking lot
PTG0004-EV-UMC01GH001,Logo Sign
PTG0004-EV-UMC01BB001,Fire Extinguisher 1
PTG0004-EV-UMC01BB002,Fire Extinguisher 2
PTG0004-EV-AJA01GT001,Transformer
PTG0004-EV-BFA01GH001,MDB
SMT0001-EP-CYW01EQ001-H01,Simcard inside Lora Gateway
SMT0001-EP-CYW01EQ002,Lora Terminal at Workroom
SMT0001-EP-CYW01EQ005,Lora Terminal at MDB1
SMT0001-EP-CYW01EQ005-B01,Temp&Humidity Sensor at MDB1
SMT0001-EP-CYW01EQ007-B01,Temp&Humidity Sensor at MDB3
SMT0001-EP-CYW01EQ007-P01,Smart Power Meter at MDB3
SMT0001-EP-CYW01EQ008,Lora Terminal at Air Compressor1(C)
SMT0001-EP-CKE01GJ001,IPC  in cabinet
SMT0001-EP-ASN01,AUXILIARY POWER SUPPLY
HMP0002-EV-UMC01,Structure System
HMP0002-EV-UMC01US002,Parking lot
HMP0002-EV-AJA01,Electrical System (HV)
HMP0002-EV-BFA01GH001,MDB
HMP0002-EV-BTL01GU001-A11,DC Charger Controller
HMP0002-EV-BTL01GU001-A41,DC Charger Filter
HMP0002-EV-BTL01GU001-A81,DC Charger SECC
HMP0002-EV-BTL01GU001-F11,DC Charger IMD
HMP0002-EV-CYA01GH001,Consumer Unit
HMP0002-EV-CYA01GN102,CCTV2
HMP0002-EV-BJB01,Lighting System
ZOO0001,Khaokheow Zoo
ZOO0001-ES-WAC10,Inverter System #1
ZOO0001-ES-WAC11GH101,DC Combiner box
UAT0001,Location for User Acceptance Testing 0001
EV_BORROW,คลังยืม EV
EV1_TEST,
ZOO0001-ES-WAC22GU100,UAT 1234
TESTLOCATION,EGAT
BAL,590374-Location
HON,12345- Location
SMT0001-EP-CYW01,COMMUNICATION AND INFORMATION SYSTEM
SMT0001-EP-CYW01EQ002-Q01,Counter at Workroom(C)
